symbol,b1_p,b1_v
600403,4.24,383
600156,4.2,336
601177,9.01,523
002567,7.46,519
603008,39.0,5
300463,29.19,5
600057,8.49,671
688566,22.82,91
002899,15.39,10
600883,8.51,112
600676,4.31,3604
600220,2.66,220
002550,4.82,111
300627,45.98,3
600871,2.13,15605
600757,5.35,272
300487,98.33,111
601808,15.0,93
002845,29.54,31
603966,10.27,127
688006,107.58,8
002495,2.7,2773
002245,27.5,296
002915,28.6,94
000503,16.9,375
300673,20.48,119
603811,16.23,114
000778,4.33,2172
600370,3.25,1518
002038,10.81,1133
300443,57.75,28
000908,4.36,148
000776,24.59,86
002860,24.35,46
600088,11.4,18
002884,27.96,159
603699,10.95,63
002953,17.03,15
688300,110.87,0
300324,3.83,453
000055,4.96,3542
688071,65.6,182
600839,3.31,7369
002832,25.45,747
300207,42.15,19
600293,3.88,3685
000009,14.42,2456
600851,8.88,20
601228,3.33,4310
000006,4.46,10771
603730,23.32,2
002719,10.49,102
002262,15.64,25
000561,8.39,1310
601019,6.14,896
000952,7.83,134
000692,3.92,2205
002788,7.81,291
600517,7.29,1541
000567,17.85,62
002462,14.06,25
603039,69.77,151
300326,10.65,550
830839,9.57,42
688312,27.0,73
601137,23.6,92
000791,6.83,3375
603662,23.69,87
837344,27.38,207
601929,2.24,13480
002371,347.01,11
002152,11.9,2463
603697,17.56,22
301031,152.03,2
600467,2.84,4309
688109,51.22,33
833266,14.65,30
000920,11.49,613
300591,7.95,279
603187,47.4,9
002836,9.68,28
002740,4.55,551
000529,6.29,552
603915,38.83,11
603055,16.06,3
688677,93.62,2
002416,11.37,286
600284,6.31,69
603680,9.17,81
300275,11.48,230
000598,6.31,908
000821,13.78,1002
002941,12.09,166
002373,14.95,519
600488,4.59,1648
002643,23.64,99
603109,28.51,5
003030,25.98,29
000613,4.08,246
600385,6.86,150
600276,50.71,521
600894,7.53,263
002296,7.51,2320
600073,8.09,891
601677,44.09,21
002088,26.0,42
002035,6.36,521
300353,9.85,225
688001,35.86,6
002199,8.19,195
600267,13.99,612
002298,7.59,563
000415,2.91,137
600279,4.06,791
002776,3.52,425
600833,9.35,6
600108,3.53,2672
300778,20.02,373
000793,2.94,6118
603579,33.34,45
600251,9.45,54
300244,33.57,36
600026,5.91,1015
002318,17.88,22
300267,4.73,4175
600186,3.0,6286
002759,29.29,110
603799,110.3,708
000063,33.5,1088
600429,6.0,1204
000727,3.0,18726
600039,12.04,82
300359,5.98,958
603602,10.28,174
002654,4.23,1295
603010,26.17,21
600153,9.06,844
002630,2.41,2674
002675,15.78,537
601579,11.48,103
603863,9.12,153
000977,35.82,473
000720,4.88,1882
600257,7.35,1163
000521,3.67,3426
603979,21.47,34
300085,15.31,1192
002613,3.67,638
688508,115.53,11
600339,3.07,4364
002785,26.49,3
000623,18.47,280
600202,4.93,1782
688776,195.43,0
002507,37.79,6
600373,12.35,369
002528,3.72,170
603901,16.1,9
300301,3.71,3385
002391,8.08,888
688670,75.68,40
000031,3.72,825
688118,24.4,61
002734,13.1,242
300180,5.03,6
002154,5.03,105
300217,5.65,2849
601616,3.78,2722
000019,6.95,1224
002663,1.9,2482
603212,31.12,44
601827,8.91,295
605003,28.37,24
000950,5.09,2092
300280,33.15,45
601222,12.12,1020
002286,13.51,186
002862,14.15,153
000798,7.71,97
603826,38.27,7
835184,9.01,1
300792,49.0,21
605286,29.89,91
002276,9.01,1364
002826,10.95,283
601390,5.79,2585
600115,5.16,4641
002620,6.45,148
300736,11.63,5
688257,66.2,6
002578,3.9,1352
002374,10.9,1969
600292,8.53,405
600512,3.26,4675
002176,20.76,1384
603336,7.81,579
603260,131.83,5
300195,7.15,1278
688082,127.63,10
300502,39.18,535
603000,14.41,672
600653,1.96,12599
002385,10.49,1617
688030,29.65,12
301149,21.18,134
300269,3.91,312
300163,3.92,1857
300021,5.9,1458
002330,6.57,497
300005,9.9,94
600790,3.29,490
300581,25.07,56
603567,15.28,14
600058,9.26,431
600508,11.28,534
688788,136.7,4
603668,12.55,1170
600275,2.65,1730
