symbol,name,close,yest_close,b1_p,b1_v,volume
300946,恒而达,68.81,75.13,68.81,8,16110
603599,广信股份,35.95,39.3,35.94,36,119180
603867,新化股份,33.46,36.6,33.46,60,69123
000049,德赛电池,51.94,56.83,51.94,38,205875
301211,亨迪药业,33.7,36.88,33.7,573,159002
600563,法拉电子,191.0,209.16,191.0,50,65764
603693,江苏新能,24.33,26.69,24.33,503,159185
300813,泰林生物,85.4,93.71,85.38,1,13704
002531,天顺风能,17.24,18.93,17.24,785,685199
301128,强瑞技术,48.51,53.29,48.51,49,33274
600505,西昌电力,10.02,11.01,10.02,207,405503
301127,C天源,18.21,20.01,18.21,1142,341493
835670,数字人,26.36,28.98,26.36,43,32566
301221,光庭信息,83.38,91.7,83.38,1,35222
002082,万邦德,13.25,14.58,13.25,291,208793
300320,海达股份,14.12,15.55,14.12,479,361677
688206,概伦电子,34.56,38.11,34.56,72,102452
688075,安旭生物,124.03,137.01,124.01,8,11901
300404,博济医药,13.45,14.88,13.44,46,336815
300878,维康药业,50.98,56.44,50.97,37,43123
300039,上海凯宝,6.5,7.2,6.5,2616,1225192
300452,山河药辅,18.85,20.92,18.84,83,210822
002629,仁智股份,4.36,4.84,-,-,772492
002025,航天电器,74.4,82.6,74.39,58,83104
000705,浙江震元,8.78,9.75,-,-,454466
000989,九 芝 堂,10.76,11.95,-,-,736446
603058,永吉股份,9.58,10.64,-,-,200819
002728,特一药业,16.25,18.05,16.25,551,160160
002246,北化股份,10.11,11.23,-,-,765261
603351,威尔药业,35.65,39.6,35.64,2739,33437
002581,未名医药,19.49,21.65,-,-,356436
603963,大理药业,8.75,9.72,-,-,177568
603368,柳药股份,18.85,20.94,18.85,897,482418
605033,美邦股份,21.64,24.04,-,-,131254
603982,泉峰汽车,39.38,43.75,-,-,73341
002432,九安医疗,46.67,51.85,-,-,749327
001296,长江材料,48.02,53.35,-,-,107479
603917,合力科技,19.28,21.42,-,-,81452
600976,健民集团,78.11,86.78,78.1,60,89830
002873,新天药业,20.0,22.22,-,-,220621
002951,金时科技,11.62,12.91,-,-,166667
002268,卫 士 通,47.64,52.93,-,-,318882
600444,国机通用,16.93,18.81,-,-,91360
600668,尖峰集团,18.1,20.11,-,-,815211
603986,兆易创新,158.3,175.88,158.3,164,256635
605123,派克新材,124.34,138.15,-,-,18248
000738,航发控制,26.56,29.51,26.56,712,420136
600452,涪陵电力,18.0,20.0,-,-,368803
300088,长信科技,12.69,14.1,12.68,448,2376054
000762,西藏矿业,48.33,53.7,-,-,608897
002865,钧达股份,62.99,69.99,-,-,30254
000537,广宇发展,21.14,23.49,-,-,347521
600876,洛阳玻璃,34.27,38.08,-,-,60624
002374,中锐股份,10.79,11.99,10.79,10976,2950143
603230,内蒙新华,20.95,23.28,-,-,59045
002565,顺灏股份,6.74,7.49,-,-,731218
002480,新筑股份,6.47,7.19,-,-,1292440
002644,佛慈制药,9.79,10.88,-,-,273176
600501,航天晨光,12.47,13.86,-,-,375940
002584,西陇科学,10.49,11.66,-,-,958529
600981,汇鸿集团,3.49,3.88,-,-,1845704
300181,佐力药业,11.91,13.26,11.91,1642,1550287
300507,苏奥传感,11.73,13.07,11.73,151,265926
300436,广生堂,39.11,43.6,39.11,197,102812
301138,华研精机,52.14,58.13,52.13,38,79654
300147,香雪制药,8.05,8.98,8.04,2919,864577
