,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell,inst_sell
sh600444,10.26,28728.0,0.0,0.0,0.0,0.0
sz000806,4.39,451292.0,0.0,0.0,0.0,0.0
sz300706,24.05,76960.0,0.0,0.0,0.0,0.0
sh601199,3.73,3730.0,0.0,0.0,0.0,0.0
sh600589,4.4,139040.0,0.0,0.0,0.0,0.0
sh601958,6.3,1823781.0,0.0,0.0,0.0,0.0
sz300410,21.88,1612556.0,0.0,0.0,0.0,0.0
sz002467,5.5,399300.0,0.0,0.0,0.0,0.0
sz300259,3.24,4320864.0,0.0,0.0,0.0,0.0
sz300189,2.63,7890.0,0.0,0.0,0.0,0.0
sz002918,17.03,11921.0,0.0,0.0,0.0,0.0
sz300499,0,0,0,0,0,0
sz002857,11.72,14064.0,0.0,0.0,0.0,0.0
sh600139,3.25,20800.0,0.0,0.0,0.0,0.0
sz300257,10.36,10153.0,0.0,0.0,0.0,0.0
sz300247,3.95,487035.0,0.0,0.0,0.0,0.0
sh601169,5.7,705090.0,0.0,0.0,0.0,0.0
sh600678,5.69,85919.0,0.0,0.0,0.0,0.0
sz000630,2.02,162004.0,0.0,0.0,0.0,0.0
sz000929,6.41,154481.0,0.0,0.0,0.0,0.0
sh600558,0,0,0,0,0,0
sz002033,0,0,0,0,0,0
sh600722,4.63,26854.0,0.0,0.0,0.0,0.0
sz000156,8.49,168951.0,0.0,0.0,0.0,0.0
sz002737,13.7,87680.0,0.0,0.0,0.0,0.0
sz300319,7.22,3449716.0,0.0,0.0,0.0,0.0
sh600237,3.68,276736.0,0.0,0.0,0.0,0.0
sh601669,4.97,222159.0,0.0,0.0,0.0,0.0
sh603012,8.1,23490.0,0.0,0.0,0.0,0.0
sz300748,23.58,14952078.0,0.0,0.0,0.0,0.0
sz002761,15.68,1356320.0,0.0,0.0,0.0,0.0
sz002843,12.4,27280.0,0.0,0.0,0.0,0.0
sz300351,9.58,472294.0,0.0,0.0,0.0,0.0
sz002143,2.97,761211.0,0.0,0.0,0.0,0.0
sz002441,7.08,14160.0,0.0,0.0,0.0,0.0
sz000415,3.79,186468.0,0.0,0.0,0.0,0.0
sh600853,3.69,96309.0,0.0,0.0,0.0,0.0
sh600275,2.81,2810.0,0.0,0.0,0.0,0.0
sz300251,8.49,528078.0,0.0,0.0,0.0,0.0
sh601003,6.88,255248.0,0.0,0.0,0.0,0.0
sh601007,8.15,114100.0,0.0,0.0,0.0,0.0
sz002572,16.02,54468.0,0.0,0.0,0.0,0.0
sz300136,20.4,4971480.0,0.0,0.0,0.0,0.0
sh603626,7.8,28860.0,0.0,0.0,0.0,0.0
sh600665,3.7,40700.0,0.0,0.0,0.0,0.0
sh600883,0,0,0,0,0,0
sz000993,5.03,41246.0,0.0,0.0,0.0,0.0
sh601339,0,0,0,0,0,0
sz000158,5.3,16960.0,0.0,0.0,0.0,0.0
sz002751,21.05,174715.0,0.0,0.0,0.0,0.0
sz300162,5.43,40725.0,0.0,0.0,0.0,0.0
sh600016,5.75,2025150.0,0.0,0.0,0.0,0.0
sh600449,0,0,0,0,0,0
sz002819,0,0,0,0,0,0
sh603336,15.97,175670.0,0.0,0.0,0.0,0.0
sh600393,2.28,20748.0,0.0,0.0,0.0,0.0
sz000507,6.78,43392.0,0.0,0.0,0.0,0.0
sz300516,0,0,0,0,0,0
sz000881,6.92,160544.0,0.0,0.0,0.0,0.0
sz300183,12.05,3615.0,0.0,0.0,0.0,0.0
sh603822,23.99,76768.0,0.0,0.0,0.0,0.0
sz000738,12.91,42603.0,0.0,0.0,0.0,0.0
sh603010,14.2,1420.0,0.0,0.0,0.0,0.0
sz300339,9.03,46956.0,0.0,0.0,0.0,0.0
sz002619,3.5,136850.0,0.0,0.0,0.0,0.0
sh600817,7.13,164703.0,0.0,0.0,0.0,0.0
sz002902,22.56,124080.0,0.0,0.0,0.0,0.0
sz300470,21.53,2153.0,0.0,0.0,0.0,0.0
sh603959,0,0,0,0,0,0
sz002498,2.95,2852060.0,0.0,0.0,0.0,0.0
sz000930,7.35,196245.0,0.0,0.0,0.0,0.0
sz300399,0,0,0,0,0,0
sh603023,4.97,61131.0,0.0,0.0,0.0,0.0
sh603225,19.17,90099.0,0.0,0.0,0.0,0.0
sz002243,19.8,20815740.0,0.0,0.0,0.0,0.0
sz002201,6.67,104052.0,0.0,0.0,0.0,0.0
sz002494,5.59,11739.0,0.0,0.0,0.0,0.0
sz000523,0,0,0,0,0,0
sh601066,10.85,3911425.0,67.01666666666667,1.16163301,1.8471732,1.01735436
sh600620,5.25,220500.0,0.0,0.0,0.0,0.0
sh603338,0,0,0,0,0,0
sz002708,8.99,2965801.0,0.0,0.0,0.0,0.0
sz300015,25.85,250745.0,0.0,0.0,0.0,0.0
sh603456,0,0,0,0,0,0
sz002673,8.17,165034.0,0.0,0.0,0.0,0.0
sh603969,4.98,234558.0,0.0,0.0,0.0,0.0
sh603922,16.24,35728.0,0.0,0.0,0.0,0.0
sz300587,20.27,239186.0,0.0,0.0,0.0,0.0
sh600540,0,0,0,0,0,0
sh600037,0,0,0,0,0,0
sh600179,0,0,0,0,0,0
sz300285,16.16,229472.0,0.0,0.0,0.0,0.0
sh600513,6.26,31300.0,0.0,0.0,0.0,0.0
sz300699,37.02,277650.0,0.0,0.0,0.0,0.0
sh600797,7.64,45076.0,0.0,0.0,0.0,0.0
sz300201,0,0,0,0,0,0
sh603128,5.47,40478.0,0.0,0.0,0.0,0.0
sz002349,6.06,1212.0,0.0,0.0,0.0,0.0
sh600127,3.03,303.0,0.0,0.0,0.0,0.0
sz002432,5.46,126672.0,0.0,0.0,0.0,0.0
sz000667,2.51,51706.0,0.0,0.0,0.0,0.0
sz002230,29.36,9809176.0,0.0,0.0,0.0,0.0
sz002182,6.49,70092.0,0.0,0.0,0.0,0.0
sz000420,1.98,209484.0,0.0,0.0,0.0,0.0
sh601519,3.46,45672.0,0.0,0.0,0.0,0.0
sz000731,0,0,0,0,0,0
sz000785,0,0,0,0,0,0
sh600986,4.46,420578.0,0.0,0.0,0.0,0.0
sz300420,5.36,106664.0,0.0,0.0,0.0,0.0
sz300036,15.76,444432.0,0.0,0.0,0.0,0.0
sz000877,7.5,283500.0,0.0,0.0,0.0,0.0
sh600975,3.82,302926.0,0.0,0.0,0.0,0.0
sz002118,5.55,10037730.0,0.0,0.0,0.0,0.0
sh603639,26.46,37044.0,0.0,0.0,0.0,0.0
sz000861,2.49,10458.0,0.0,0.0,0.0,0.0
sh603360,14.11,299132.0,0.0,0.0,0.0,0.0
sz000757,5.24,19388.0,0.0,0.0,0.0,0.0
sh600708,0,0,0,0,0,0
sz002219,3.52,35200.0,0.0,0.0,0.0,0.0
sz002355,7.47,37350.0,0.0,0.0,0.0,0.0
sz000552,2.69,339747.0,0.0,0.0,0.0,0.0
sz300484,11.47,94054.0,0.0,0.0,0.0,0.0
sz002656,5.81,786674.0,0.0,0.0,0.0,0.0
sh601899,3.04,1792688.0,0.0,0.0,0.0,0.0
sz000030,4.01,16842.0,0.0,0.0,0.0,0.0
sz300317,5.12,503808.0,0.0,0.0,0.0,0.0
sh600452,18.17,168981.0,0.0,0.0,0.0,0.0
sz000737,0,0,0,0,0,0
sz300011,6.67,759046.0,0.0,0.0,0.0,0.0
sz002562,4.21,65255.0,0.0,0.0,0.0,0.0
sz002102,1.78,400322.0,0.0,0.0,0.0,0.0
sh603618,5.54,293066.0,0.0,0.0,0.0,0.0
sz000702,5.45,1090.0,0.0,0.0,0.0,0.0
sh600054,0,0,0,0,0,0
sz300280,32.56,192104.0,0.0,0.0,0.0,0.0
sh603223,10.87,1746157.0,0.0,0.0,0.0,0.0
sz000972,2.88,21888.0,0.0,0.0,0.0,0.0
sz002028,10.79,34528.0,0.0,0.0,0.0,0.0
sz300045,8.54,274988.0,0.0,0.0,0.0,0.0
sz300610,0,0,0,0,0,0
sh603416,0,0,0,0,0,0
sz002026,5.79,66585.0,0.0,0.0,0.0,0.0
sz002799,12.52,13772.0,0.0,0.0,0.0,0.0
sz300765,0,0,0,0,0,0
sh600654,2.03,16443.0,0.0,0.0,0.0,0.0
sz002082,0,0,0,0,0,0
sz300708,10.58,37030.0,0.0,0.0,0.0,0.0
sh600370,0,0,0,0,0,0
sh600512,2.32,1748816.0,0.0,0.0,0.0,0.0
sh600019,6.76,1019023.0,0.0,0.0,0.0,0.0
sz000899,4.74,9954.0,0.0,0.0,0.0,0.0
sh603885,11.97,34713.0,0.0,0.0,0.0,0.0
sz002344,4.84,76956.0,0.0,0.0,0.0,0.0
sz002171,5.09,185785.0,0.0,0.0,0.0,0.0
sz300693,15.81,31620.0,0.0,0.0,0.0,0.0
sh600331,2.11,3066885.0,0.0,0.0,0.0,0.0
sh603861,12.8,3301120.0,0.0,0.0,0.0,0.0
sz002785,0,0,0,0,0,0
sh600759,2.52,447300.0,0.0,0.0,0.0,0.0
sz002738,0,0,0,0,0,0
sh600123,6.69,151863.0,0.0,0.0,0.0,0.0
