,kaipan_price,kaipan_money,sell_amount
sh600179,7.42,435554,0.00163452
sz300285,22.34,656796,0.08975933999999999
sh600513,7.7,149380,0.00270284
sz300699,57.45,1999260,0.00140208
sh600797,10.9,8995770,1.0387114800000001
sz300201,5.7,3270837,0.01022868
sh603128,7.95,2712540,0.60229758
sz002349,6.87,277548,0.00361152
sh600127,3.67,99090,0.04074
sz002432,7.1,6715180,0.159528
sz000667,2.79,691362,0.009383039999999999
sz002230,36.8,16407280,0.00547354
sz002182,8.79,2560527,0.0065626999999999994
sz000420,2.98,178502,0.01597014
sh601519,10.74,53628042,1.13796024
sz000731,7.01,198383,0.02004572
sz000785,11.07,452763,0.00872138
sh600986,5.85,1542645,0.02132625
sz300420,6.95,110505,0.02178
sz300036,17.75,424225,0.0038957600000000003
sz000877,11.91,2828625,0.004268940000000001
sh600975,11.78,14324480,0.94159136
sz002118,10.42,13745335,0.6297155
sh603639,33.65,346595,0.0021356099999999996
sz000861,3.17,1043818,0.007954200000000002
sh603360,26.37,29637243,0.00758229
sz000757,5.67,13041,0.014663520000000001
sh600708,5.25,2259763,0.00944706
sz002219,3.76,1533328,0.003038
sz002355,8.88,1574424,0.0053326
sz000552,3.15,417690,0.00372775
sz300484,13.1,1017870,0.00193575
sz002656,6.55,847570,0.012965879999999999
sh601899,3.55,13791395,0.00553164
sz000030,5.2,148746,0.0014204
sz300317,6.3,374220,0.0012043499999999999
sh600452,24.13,209931,0.0009421200000000001
sz000737,4.48,898240,0.16491594
sz300011,7.43,654583,0.0006776
sz002562,6.38,1672198,0.03200721
sz002102,2.06,335780,0.0255213
sh603618,6.71,188551,0.0065469000000000005
sz000702,6.73,155463,0.00913152
sh600054,12.08,4253368,0.00145061
sz300280,30.56,1069600,0.00426224
sh603223,11.74,258280,0.0011919599999999997
sz000972,3.58,495472,3.59e-06
sz002028,12.45,456915,0.00468295
sz300045,10.53,684029,0.02845344
sz300610,14.53,472225,0.0004584
sh603416,28.72,31592,0.00346725
sz002026,6.79,131047,4.1880000000000006e-05
sz002799,15.32,390660,0.00375375
sz300765,53.79,12699819,0.01405415
sh600654,2.32,591600,0.00254737
sz002082,10.11,456972,0.414051
sz300708,12.62,176680,0.0352683
