,kaipan_price,kaipan_money,zhangting_min,zhangting_force,zhangting_sell
sh600332,42.85,1581165.0,0.0,0.00393234,0.01801247
sh600075,7.5,249000.0,0.05,0.01421035,0.00250125
sz002915,24.18,106392.0,0.0,0.00134995,0.00093294
sz002724,6.83,30735.0,0.05,0.00338068,0.00139225
sh600000,11.96,4333108.0,0.0,0.07221562,0.05227222
sh600608,5.43,698298.0,0.4,0.00556,0.00970325
sz300313,7.36,373888.0,0.0,0.00058185,0.00058185
sz300329,9.2,27600.0,0.30000000000000004,0.0049463400000000005,0.00333405
sh600373,15.07,926805.0,0.0,0.0085274,0.0072751
sh603017,14.93,152286.0,0.3333333333333333,0.00281645,0.00364432
sh601588,3.76,521888.0,0.05,0.00228056,6.804e-05
sz002650,4.39,269546.0,1.2,0.008704110000000001,0.01589711
sh600971,8.85,894735.0,0.15,0.00275946,0.0024936
sz300282,15.52,1497680.0,0.15,0.01076948,0.00840763
sh600680,0,0,0,0,0
sh600444,14.38,1993068.0,0.0,0.00863505,0.00603568
sz000806,4.82,3218796.0,0.0,0.01128932,0.00975928
sz300706,28.11,899520.0,0.0,0.00222301,0.00087753
sh601199,4.45,421415.0,9.116666666666667,0.00200206,0.02109683
sh600589,5.74,45920.0,3.6166666666666667,0.01743721,0.023282010000000002
sh601958,7.37,1392930.0,0.0,0.00363473,0.00053161
sz300410,21.64,110364.0,0.0,0.0012678,0.00153024
sz002467,8.99,3892670.0,0.0,0.02161372,0.00534362
sz300259,4.14,684756.0,1.0,0.00481958,0.02744779
sz300189,4.07,59422.0,0.95,0.00604793,0.00349695
sz002918,26.31,126288.0,0.1,0.00118606,0.00314102
sz300499,16.85,25275.0,0.1,0.01005046,0.00039882
sz002857,14.58,30618.0,0.36666666666666664,0.00508868,0.00732113
sh600139,4.7,537210.0,0.16666666666666666,0.00560988,0.01464365
sz300257,13.82,35932.0,0.1,0.00188104,0.00031845
sz300247,4.78,3834038.0,0.0,0.02038298,0.00591805
sh601169,6.48,4508784.0,0.5166666666666667,0.02043935,0.04695953
sh600678,8.07,374448.0,0.0,0.0007514,0.0007514
sz000630,2.7,6173820.0,0.23333333333333334,0.09429889,0.03419829
sz000929,0.0,0.0,0.38333333333333336,0.00063778,0.00066525
sh600558,4.43,84170.0,0.23333333333333334,0.00626046,0.00710676
sz002033,6.95,191820.0,0.1,0.00740647,0.00330639
sh600722,6.98,1079806.0,0.0,0.02105388,0.02105388
sz000156,11.85,742995.0,0.15,0.00433235,0.01819495
sz002737,17.9,3966640.0,0.0,0.01753158,0.0021689
sz300319,7.36,713184.0,0.0,0.00363879,0.00363879
sh600237,4.69,218554.0,0.0,0.01204111,0.01204111
sh601669,6.12,929016.0,1.0166666666666666,0.00799284,0.0268516
sh603012,8.9,134390.0,0.0,0.0071223,0.00089676
sz300748,26.15,355640.0,0.0,0.00432193,0.00416584
sz002761,23.99,54184342.0,234.13333333333333,0.00136983,2.09972691
sz002843,16.81,18491.0,0.25,0.00164113,0.00199868
sz300351,12.72,1661232.0,0.3333333333333333,0.10262342,0.04841197
sz002143,2.87,5442955.0,0.0,0.03279447,0.00369636
sz002441,8.32,88192.0,0.26666666666666666,0.00683856,0.00812631
sz000415,5.1,5439150.0,0.0,0.00864125,0.0046813
sh600853,4.68,104364.0,0.5,0.00290937,0.00218567
sh600275,4.25,1164925.0,202.3,0.00931416,0.09025231
sz300251,8.6,1524780.0,0.45,0.01365107,0.02958914
sh601003,7.58,632930.0,1.1833333333333333,0.00505199,0.02358757
sh601007,11.4,1849080.0,0.1,0.003401,0.01380122
sz002572,23.55,2734155.0,0.2833333333333333,0.00689321,0.02901924
sz300136,31.59,71169111.0,0.0,0.0,0.71169111
sh603626,10.11,145584.0,0.05,0.00327054,0.00201198
sh600665,4.52,746704.0,5.616666666666666,0.00079523,0.0111599
sh600883,8.01,257922.0,1.0,0.00650909,0.00297791
sz000993,8.47,769923.0,0.0,0.0197727,0.00414572
sh601339,5.74,285852.0,0.0,0.00354498,0.0012583
sz000158,6.45,163830.0,0.0,0.00432934,0.00041914
sz002751,27.3,196560.0,0.0,0.0024899,0.00120094
sz300162,6.95,351670.0,0.0,0.0031112500000000003,0.00229926
sh600016,6.68,17313892.0,0.8,0.30706518,0.17332843
sh600449,10.12,250976.0,0.08333333333333333,0.00198749,0.00163366
sz002819,25.5,61200.0,0.0,0.00085387,0.00038819
sh603336,18.32,168544.0,0.0,0.0201975,0.00178018
sh600393,3.5,13461700.0,0.0,0.00728308,0.0047046
sz000507,7.98,574560.0,2.0833333333333335,0.02181122,0.03924047
sz300516,39.48,23688.0,0.0,0.0,0.00023688
sz000881,11.2,1777440.0,0.06666666666666667,0.00320998,0.00418826
sz300183,15.56,3250484.0,0.0,0.01091465,0.00662884
sh603822,31.69,285210.0,0.0,0.00322658,9.585e-05
sz000738,15.5,268150.0,0.05,0.00168354,0.00354239
sh603010,16.5,89100.0,0.43333333333333335,0.00265217,0.00238896
sz300339,14.04,1194804.0,0.0,0.00826375,0.00387445
sz002619,4.73,360426.0,0.15,0.02009408,0.01060065
sh600817,10.3,24720.0,119.0,0.03029396,0.12509797
sz002902,28.57,1405644.0,0.03333333333333333,0.00196606,0.00130264
sz300470,30.36,160908.0,0.0,0.0,0.00160908
sh603959,20.87,336007.0,39.11666666666667,0.00055129,0.49424748
sz002498,3.16,120712.0,1.0,0.00867826,0.02707259
sz000930,9.4,799000.0,0.23333333333333334,0.01497623,0.01181907
sz300399,13.86,171864.0,0.0,0.00158694,0.00092842
sh603023,6.32,75840.0,0.0,0.01173097,0.01154317
sh603225,15.09,51306.0,0.06666666666666667,0.00278937,0.00016698
sz002243,20.3,14482020.0,0.0,0.07961464,0.01846484
sz002201,8.28,141588.0,0.0,0.01265461,0.00306997
sz002494,6.53,82931.0,0.1,0.00672737,0.01622308
sz000523,5.9,167560.0,0.0,0.00256533,0.0002373
sh601066,24.6,4671540.0,0.05,0.00648034,0.01846034
sh600620,10.73,38022828.0,239.08333333333331,0.33716069,0.88123769
sh603338,79.86,567006.0,0.0,0.00798839,0.00065254
sz002708,9.41,182554.0,0.0,0.00337721,0.00110077
sz300015,33.42,1303380.0,0.05,0.01609289,0.00241161
sh603456,9.42,45216.0,0.4,0.01511999,0.0015299
sz002673,12.05,4842895.0,0.05,0.04551442,0.01657552
sh603969,5.9,166380.0,1.8,0.00144469,0.01921333
sh603922,21.23,1583758.0,0.18333333333333332,0.00054612,0.0006554
sz300587,23.85,35775.0,0.0,0.00201727,0.00012322
sh600540,6.11,4255798.0,0.0,0.00237095,0.00237095
sh600037,11.82,858132.0,0.0,0.00701443,0.00601763
sh600179,8.5,289850.0,0.0,0.00504627,0.00373225
sz300285,15.27,262644.0,0.0,0.03933644,0.03849179
sh600513,8.42,615502.0,3.25,0.00614929,0.02702736
sz300699,59.6,494680.0,0.0,0.00278208,0.00272169
sh600797,10.72,810432.0,0.05,0.00831753,0.00631105
sz300201,5.49,101016.0,0.0,0.00252754,0.00057114
sh603128,10.45,1799490.0,0.0,0.00860091,0.00860091
sz002349,7.19,635596.0,1.8833333333333333,0.00519068,0.00630559
sh600127,3.73,104067.0,6.383333333333334,0.00427382,0.00759689
sz002432,7.09,382151.0,0.0,0.01437356,0.00057815
sz000667,2.86,686400.0,0.0,0.02895595,0.02895595
sz002230,35.3,6562270.0,0.0,0.07832898,0.0044036
sz002182,8.9,409400.0,0.25,0.01719465,0.01309035
sz000420,2.84,164152.0,0.0,0.01446197,1.148e-05
sh601519,10.55,3362285.0,0.0,0.01314273,0.0021358
sz000731,7.19,298385.0,2.85,0.01520902,0.04233491
sz000785,10.81,315652.0,0.45,0.00221402,0.0028863
sh600986,5.96,357600.0,3.2,0.01090385,0.07479788
sz300420,7.37,193094.0,0.0,5.923e-05,5.183e-05
sz300036,18.25,383250.0,0.0,0.00403719,0.00199138
sz000877,12.52,709884.0,0.2,0.01134215,0.01928556
