,kaipan_price,kaipan_money
sh600396,2.58,92880.0
sh600397,2.57,232842.0
sh600398,7.24,280912.0
sh600399,14.2,850579.9999999999
sh600400,2.96,175232.0
sh600403,3.33,110000.0
sh600405,6.55,2622620.0
sh600406,30.18,4252362.0
sh600408,3.47,3541482.0
sh600409,10.45,929004.9999999999
sh600410,6.32,65728.0
sh600415,5.25,411075.0
sh600416,15.9,41340.0
sh600418,9.64,30163560.000000004
sh600419,13.72,120736.00000000001
sh600420,10.84,2509460.0
sh600421,9.74,0.0
sh600422,9.44,706112.0
sh600423,3.38,659100.0
sh600425,3.77,105559.99999999999
sh600426,28.3,1188600.0
sh600428,4.1,648210.0
sh600429,5.06,90000.0
sh600433,4.95,62865.0
sh600435,8.02,114685.99999999999
sh600436,374.01,7816809.0
sh600438,40.01,24574142.0
sh600439,3.32,15355332.0
sh600444,9.5,646000.0
sh600446,14.0,215600.0
sh600448,3.18,57240.0
sh600449,13.5,841050.0
sh600452,20.77,1185967.0
sh600455,17.59,35180.0
sh600456,40.81,371371.0
sh600458,8.38,245534.0
sh600459,26.0,1864200.0
sh600460,36.99,31870000.0
sh600461,7.49,47187.0
sh600462,2.3,0.0
sh600463,6.24,0.0
sh600466,3.9,209429.99999999997
sh600467,2.58,70950.0
sh600468,4.1,16400.0
sh600469,4.83,9177.0
sh600470,4.18,587708.0
sh600475,13.8,30360.000000000004
sh600476,9.75,13650.0
sh600477,3.64,37492.0
sh600478,3.97,67887.0
sh600479,9.46,96492.0
sh600480,10.18,85512.0
sh600481,5.09,529360.0
sh600482,16.7,141950.0
sh600483,10.26,379620.0
sh600485,1.39,0.0
sh600486,108.94,403078.0
sh600487,11.72,241432.00000000003
sh600488,4.77,12401.999999999998
sh600489,9.23,1173133.0
sh600490,4.08,176664.0
sh600491,4.97,64610.0
sh600493,4.72,0.0
sh600495,3.69,13653.0
sh600496,4.26,1076501.9999999998
sh600497,4.69,1608201.0000000002
sh600498,17.3,344270.0
sh600499,14.9,9713310.0
sh600500,6.09,754551.0
sh600501,9.06,64326.0
sh600502,4.03,129363.00000000001
sh600503,3.32,44156.0
sh600505,7.5,4554000.0
sh600506,6.99,73395.0
sh600507,8.63,516937.00000000006
sh600508,9.34,213886.0
sh600509,6.27,1975050.0
sh600510,6.8,70040.0
sh600511,35.8,357999.99999999994
sh600512,3.06,395046.0
sh600513,9.5,642200.0
sh600515,11.3,902870.0000000001
sh600516,8.5,2070000.0
sh600517,6.85,4970000.0
sh600518,2.23,683718.0
sh600519,2051.0,44301600.0
sh600520,6.94,215140.0
sh600521,20.3,487200.0
sh600522,10.02,808614.0
sh600523,14.01,12609.0
sh600525,5.81,4586995.0
sh600526,7.13,1367534.0
sh600527,2.63,40239.0
sh600528,8.45,157169.99999999997
sh600529,39.23,274610.0
sh600530,3.89,2258534.0
sh600531,5.74,2208752.0
sh600532,15.8,124820.0
sh600533,3.24,18468.0
sh600535,14.3,1271270.0
sh600536,49.49,1727201.0000000002
sh600537,3.91,164611.0
sh600538,6.25,725625.0
sh600539,7.2,32400.0
sh600540,5.39,321783.0
sh600543,7.1,769640.0
sh600545,3.04,38912.0
sh600546,6.3,4326840.0
sh600547,21.18,1779120.0
sh600548,9.75,87750.0
sh600549,18.2,644280.0
sh600550,4.16,20800.0
sh600551,7.93,58681.99999999999
sh600552,6.57,174762.0
sh600555,1.5,84300.0
sh600556,9.56,252384.0
sh600557,11.29,380472.99999999994
sh600558,3.09,33681.0
sh600559,22.2,5834160.0
sh600560,9.0,121500.0
sh600561,4.06,56028.0
sh600562,14.06,165908.00000000003
sh600563,112.21,617154.9999999999
sh600565,2.77,137669.0
sh600566,19.78,2407226.0
sh600567,3.7,990490.0
sh600568,1.81,423721.0
sh600569,3.32,3980015.9999999995
sh600570,92.39,1201070.0
sh600571,6.98,40000.0
sh600572,4.64,6340096.0
sh600573,10.3,1746880.0000000002
sh600575,2.25,47925.0
sh600576,5.51,1807830.9999999998
sh600577,4.8,4055519.9999999995
sh600578,3.1,1726700.0
sh600579,5.01,126753.0
sh600580,11.39,948787.0000000001
sh600581,5.58,5165964.0
sh600582,3.5,362600.0
sh600583,4.42,664326.0
sh600584,32.18,5245340.0
sh600585,49.44,2986176.0
sh600586,6.7,404010.0
sh600587,21.3,4249350.0
sh600588,35.21,1559803.0
sh600589,1.9,61179.99999999999
sh600590,6.39,810891.0
sh600592,10.66,0.0
sh600593,22.98,220608.0
sh600594,6.14,784691.9999999999
sh600595,3.56,3916.0000000000005
sh600596,14.39,5502736.0
sh600597,16.0,518400.0
sh600598,16.23,404127.0
sh600599,5.61,187374.0
sh600600,100.64,1640432.0
sh600601,2.71,125202.0
sh600602,5.42,7045.999999999999
sh600603,4.54,1362.0
sh600604,5.56,5004.0
sh600605,8.3,171810.0
sh600606,5.8,339300.0
sh600608,5.19,519.0
sh600609,4.71,122931.0
sh600610,10.29,19753712.999999996
sh600611,3.5,17850.0
sh600612,55.7,300780.0
sh600613,5.64,1097543.9999999998
sh600614,0.74,0.0
sh600615,6.9,228390.0
sh600616,7.36,733792.0
sh600617,3.95,5530.0
sh600618,8.1,418770.0
sh600619,7.96,20696.0
sh600620,6.42,14124.0
sh600621,15.22,1634628.0
sh600622,3.02,113552.0
sh600623,8.03,407924.0
sh600624,6.97,32062.0
sh600626,4.23,102789.00000000001
sh600628,8.1,0.0
sh600629,7.29,0.0
sh600630,5.09,89075.0
sh600633,7.19,80000.0
sh600634,0.82,0.0
sh600635,3.58,52268.00000000001
sh600636,9.82,19640.0
sh600637,8.94,76883.99999999999
sh600638,5.67,0.0
sh600639,12.02,48079.99999999999
sh600640,12.27,714114.0
sh600641,15.6,1425840.0
sh600642,5.78,490722.0
sh600643,7.11,13072446.0
sh600644,5.43,267699.0
sh600645,23.02,605426.0
sh600647,11.39,0.0
sh600648,13.91,16692.0
sh600649,4.82,272812.00000000006
sh600650,9.9,0.0
sh600651,3.24,35964.00000000001
sh600652,1.6,12000.0
sh600653,1.74,177828.0
sh600654,1.85,1739370.0
sh600655,13.1,35973910.0
sh600657,3.68,368.0
sh600658,4.07,164428.00000000003
sh600660,50.71,2545642.0
sh600661,14.4,38880.0
sh600662,8.57,33423.0
sh600663,10.62,385505.99999999994
sh600664,3.0,196500.0
sh600665,3.08,2464.0
sh600666,1.44,70000.0
sh600667,7.82,117300.0
sh600668,12.32,9856.0
sh600671,8.95,121719.99999999999
sh600673,4.71,74889.0
sh600674,11.85,77025.0
sh600675,3.25,107575.0
sh600676,4.46,21408.0
sh600677,3.01,0.0
sh600678,5.68,193688.0
sh600679,12.8,140000.0
sh600681,4.83,29463.0
sh600682,10.8,1189080.0
sh600683,4.1,95120.0
sh600684,4.07,993080.0000000001
sh600685,20.43,175698.0
sh600686,6.82,249612.0
sh600687,0.3,0.0
sh600688,3.78,510678.0
sh600689,6.88,7567.999999999999
sh600690,30.07,5505817.0
sh600691,3.08,148456.0
sh600692,6.4,33920.00000000001
sh600693,4.17,0.0
sh600694,21.27,68064.0
sh600695,2.77,60940.0
sh600696,21.7,1319360.0
sh600697,13.73,157895.0
sh600698,2.65,76320.0
sh600699,17.1,1441530.0
sh600701,0.45,0.0
sh600702,179.0,67393500.0
sh600703,24.22,2366294.0
sh600704,5.18,893032.0
sh600705,3.93,102573.0
sh600706,6.62,40382.0
sh600707,11.76,3819647.9999999995
sh600708,2.5,23250.0
sh600710,6.45,956535.0
sh600711,7.32,2760000.0
sh600712,4.11,30825.0
sh600713,4.65,129270.0
sh600714,6.03,123012.00000000001
sh600715,3.68,1531248.0000000002
sh600716,4.46,1104296.0
sh600717,4.74,120000.0
sh600718,9.1,85540.0
sh600719,3.6,164520.0
sh600720,13.61,194623.0
sh600721,3.82,0.0
sh600722,6.25,710000.0
sh600723,8.43,354060.0
sh600724,3.67,36700.0
sh600725,2.35,1107555.0
sh600726,2.46,777360.0
sh600727,7.41,288249.0
sh600728,6.45,60630.00000000001
sh600729,32.21,470000.0
sh600730,4.34,75516.0
sh600731,9.69,173451.0
sh600732,9.94,90454.0
sh600733,18.32,143110000.0
sh600734,2.27,1885916.0
sh600735,7.8,7730000.0
sh600736,4.46,6244.0
sh600737,10.03,1085246.0
sh600738,7.48,91256.0
sh600739,22.45,758810.0
sh600740,6.37,1147237.0
sh600741,24.32,919296.0000000001
sh600742,9.7,474329.99999999994
sh600743,2.05,67240.0
sh600744,8.65,91561980.0
sh600745,86.35,2250000.0
sh600746,12.41,204765.0
sh600748,4.87,9740.0
sh600749,10.4,266240.0
sh600750,11.46,380000.0
sh600751,2.31,1024254.0000000001
sh600753,34.8,88339799.99999999
sh600754,58.81,129382.00000000001
sh600755,6.95,305105.0
sh600756,12.58,13838.0
sh600757,5.79,110000.0
sh600758,3.16,380000.0
sh600759,2.33,3052300.0
sh600760,72.57,3643014.0
sh600761,11.42,199850.0
sh600763,345.5,3938700.0
sh600764,27.61,215358.0
sh600765,18.3,329400.0
sh600766,3.27,191949.0
sh600767,3.93,44016.0
sh600768,8.08,50000.0
sh600769,5.19,659649.0000000001
sh600770,5.0,0.0
sh600771,21.0,4029900.0
sh600773,12.42,12679578.0
sh600774,13.26,112709.99999999999
sh600775,7.76,1572176.0
sh600776,11.85,343650.0
sh600777,1.55,2436135.0
sh600778,3.81,41910.0
sh600779,117.0,56908800.0
sh600780,3.95,251220.00000000003
sh600781,3.38,1095120.0
sh600782,5.81,3610914.9999999995
sh600783,11.8,29500.0
sh600784,5.27,42686.99999999999
sh600785,11.33,0.0
sh600787,5.11,31682.0
sh600789,7.63,588273.0
sh600790,3.16,1264.0
sh600791,3.53,2118.0
sh600792,4.01,67368.0
sh600793,12.09,140000.0
sh600794,3.38,40560.0
sh600795,2.41,486338.0
sh600796,4.65,43710.0
sh600797,6.14,81662.0
sh600798,4.94,314184.0
sh600800,4.68,13104.0
sh600801,22.79,195993.99999999997
sh600802,7.56,41579.99999999999
sh600803,17.99,280643.99999999994
sh600804,5.11,66941.00000000001
sh600805,3.59,42362.0
sh600807,3.16,60040.0
sh600808,3.84,2188800.0
sh600809,456.82,17130000.0
sh600810,10.7,112350.0
sh600811,3.38,1350000.0
sh600812,10.3,507790.00000000006
sh600814,7.19,1080000.0
sh600815,2.62,15720.000000000002
sh600816,2.48,0.0
sh600817,14.25,135375.0
sh600818,9.77,40057.0
sh600819,5.35,675704.9999999999
sh600820,5.2,40040.0
sh600821,5.35,9190000.0
sh600822,9.52,0.0
sh600823,4.27,106750.0
sh600824,3.91,98141.00000000001
sh600825,5.78,1730000.0
sh600826,7.93,76128.0
sh600827,19.49,1212278.0
sh600828,3.65,117530.0
sh600829,6.21,621.0
sh600830,5.1,180000.0
sh600831,6.36,380000.0
sh600833,9.19,3676.0
sh600834,9.74,19480.0
sh600835,18.09,85023.0
sh600836,5.95,63070.00000000001
sh600837,11.29,1844785.9999999998
sh600838,6.52,6519.999999999999
sh600839,2.79,983754.0000000001
sh600841,9.02,60000.0
sh600843,5.86,47466.0
sh600844,4.37,50000.0
sh600845,62.22,920856.0
sh600846,8.54,160000.0
sh600847,8.7,28709.999999999996
sh600848,21.52,440000.0
sh600850,26.8,350000.0
sh600851,7.75,13175.0
sh600853,2.54,40000.0
sh600854,3.52,21120.0
sh600855,13.43,30000.0
sh600856,1.42,50126.0
sh600857,10.36,3108.0
sh600858,6.25,80000.0
sh600859,30.96,710000.0
sh600860,4.7,101990.00000000001
sh600861,14.3,288860.00000000006
sh600862,29.02,589106.0
sh600863,2.41,409218.0
sh600864,6.32,23574232.0
sh600865,8.13,633327.0
sh600866,4.03,131781.00000000003
sh600867,12.68,582012.0
sh600868,2.92,89352.0
sh600869,3.82,91298.0
sh600870,3.21,0.0
sh600871,2.04,784992.0
sh600872,47.45,1428245.0
sh600873,6.4,1305600.0
sh600874,6.36,23532.000000000004
sh600875,11.62,2973558.0
sh600876,16.7,253840.0
sh600877,15.86,934153.9999999999
sh600879,7.11,686115.0
sh600880,4.0,109200.0
sh600881,2.89,100000.0
sh600882,76.68,250000.0
sh600883,8.78,0.0
sh600884,17.55,15290000.0
sh600885,54.97,456251.0
sh600886,9.85,422564.99999999994
sh600887,40.0,19648000.0
sh600888,5.75,863075.0
sh600889,6.04,862512.0000000001
sh600890,2.67,99591.0
sh600891,0.38,0.0
sh600892,3.89,140000.0
sh600893,43.21,4830000.0
sh600894,7.39,106415.99999999999
sh600895,18.87,920000.0
sh600896,4.19,576963.0
sh600897,17.1,1710.0000000000002
sh600898,5.67,0.0
sh600900,19.45,3215085.0
sh600901,5.41,43280.0
sh600903,9.22,18440.0
sh600908,6.09,90000.0
sh600909,6.29,2387684.0
sh600917,9.06,1664322.0
sh600918,11.38,3089670.0
sh600919,7.45,8895300.0
sh600926,17.2,2719319.9999999995
