,kaipan_price,kaipan_money,sell_amount,zhangting_min
sh603933,19.83,232011,0.0009255200000000001,0.3
sh601222,5.62,1146778,0.0207345,0.0
sh603028,8.89,61341,0.002033,0.0
sh600083,18.0,120600,0.011925300000000002,0.15
sz300392,8.38,853084,0.010542259999999998,0.4
sz002732,17.44,59296,0.0002478,0.25
sh601330,13.36,641280,0.0031635,0.23333333333333334
sz002905,14.8,81400,0.00038075,0.0
sz002750,9.64,1832564,0.06824155999999999,243.43333333333334
sz300641,5.8,26100,0.00209682,0.05
sz300393,21.21,171801,0.0006681,0.5
sh603977,7.82,7038,0.00199796,0.7333333333333334
sz300521,11.31,286143,0.0031647000000000003,0.25
sh601966,16.41,157536,0.015384059999999998,0.4166666666666667
sh600668,13.7,1488656,0.00087318,0.1
sh601015,6.09,707658,0.00506796,2.316666666666667
sz300012,8.13,1789413,0.00018744,0.23333333333333334
sh601398,5.9,43023390,0.47396474,0.8833333333333333
sz300583,35.46,265950,0.00102452,0.0
sz002056,6.99,772472,0.036479300000000006,1.3666666666666667
sz002499,8.07,105717,0.00055055,0.0
sz000628,10.95,526695,0.00231781,0.05
sz300026,3.43,1000188,0.010212210000000001,4.316666666666666
sh600302,5.19,72141,0.0021677,1.7666666666666666
sh603035,13.3,332500,0.0005436,0.1
sz300578,20.4,7201608,0.0283925,0.05
sz000895,24.35,8909665,0.02340492,0.2
sz300481,16.57,1327257,0.00040464,0.1
sh600891,5.63,981309,0.010439,1.7
sz300626,8.83,27373,0.001692,0.9
sz000703,13.83,759820,5.632e-05,0.5666666666666667
sz300596,30.42,164268,0.00036102,0.2
sh603399,11.41,235046,0.036,0.0
sz000090,5.97,545061,0.010336680000000001,2.55
sh600136,9.18,435132,0.0036666,0.7
sh603196,9.38,204484,0.0016443200000000001,0.15
sz300676,82.01,6150750,0.00232713,0.2
sz002687,6.54,602334,0.0014651999999999998,0.9166666666666666
sz300122,46.47,3336546,0.018533760000000003,0.0
sh603803,11.56,1293564,1.87908718,89.36666666666666
sh600240,3.35,23385345,0.10135728,0.65
sh601949,5.28,321552,0.000564,0.15
sh601333,3.84,695040,0.08340246000000001,6.183333333333334
sh600868,3.49,1000848,0.034058330000000005,0.5
sz002668,5.5,28186950,3.52265127,100.61666666666667
sh603183,17.46,399834,0.0073088300000000005,0.25
sh600791,4.51,31570,0.002232,0.11666666666666667
sh600348,5.96,2087788,0.0144204,0.35
sh603129,19.27,1927,0.0034660800000000003,0.8333333333333334
sz002267,8.25,1292775,0.004689939999999999,0.03333333333333333
sz300106,6.2,850640,0.00706275,0.25
sz002380,12.32,942480,0.006837,0.8666666666666666
sz002195,4.88,8573233,0.030994199999999996,0.0
sz000539,4.43,514323,0.0065156,0.35
sh603676,11.91,321570,0.0020253999999999997,0.2833333333333333
sz002221,8.81,978791,0.0016814399999999998,1.4
sh600526,5.2,407680,0.0002264,0.0
sz300518,24.24,327240,0.003596,0.15
sh603991,20.57,6171,0.002079,0.65
sz000803,13.3,101080,0.0022384,0.0
sz000068,6.42,5275956,0.01065024,0.0
sh603536,9.05,205435,0.0013135,0.9833333333333333
sh600219,2.57,1842202,0.00146596,0.9
sh601999,6.3,125370,0.00046505,1.3
sz300017,11.81,53559673,21.13594365,233.83333333333331
sh600628,7.14,152796,0.00703975,0.6166666666666667
sh600332,38.0,7793800,0.05403904,0.05
sh600075,5.28,570240,0.0011902,0.75
sz002915,23.18,69540,0.0011176600000000001,0.5
sz002724,6.4,197760,0.00017082,0.0
sh600000,12.12,16316950,0.08233744999999999,0.35
sh600608,4.68,1404,0.0033887,1.3
sz300313,6.6,343860,0.0052359400000000006,1.05
sz300329,8.44,235476,0.0036548799999999997,0.6
sh600373,14.18,1056410,0.00032010000000000003,0.4
sh603017,15.29,3827087,0.03827087,0.05
sh601588,3.38,247754,0.00072512,3.166666666666667
sz002650,3.75,1977375,0.0017370600000000001,0.0
sh600971,6.76,1475032,0.0036716,0.23333333333333334
sz300282,14.72,379776,0.0015996499999999998,0.1
sh600680,0.0,0.0,0.0,0.0
sh600444,10.9,73030,0.00073392,0.8666666666666667
sz000806,4.35,5232615,0.01831648,0.31666666666666665
sz300706,28.94,1174964,0.007716300000000001,0.0
sh601199,4.07,299552,0.01271712,0.75
sh600589,4.77,474615,0.0026487000000000004,1.9166666666666665
sh601958,6.94,676650,0.00264044,1.2
sz300410,22.3,1342460,0.0008106,0.05
sz002467,6.18,1059870,0.016070849999999998,1.0333333333333332
sz300259,3.51,701298,0.0120312,3.1
sz300189,3.18,388596,0.0356608,3.6
sz002918,19.27,385400,9.880000000000002e-05,0.05
sz300499,15.6,49906,0.00065149,1.3
sz002857,12.54,60192,0.0011179500000000002,0.41666666666666663
sh600139,3.95,605535,0.008208960000000001,1.9833333333333334
sz300257,13.03,216298,0.0012663,0.15
sz300247,3.82,3274886,0.01305733,0.65
sh601169,6.61,4317850,0.05342372,1.0833333333333333
sh600678,7.16,12538592,0.00227328,0.36666666666666664
sz000630,2.38,5904066,0.18828985,5.433333333333334
sz000929,7.27,63976,0.00070585,0.0
sh600558,4.07,492674,0.00855984,1.2
sz002033,6.45,595980,0.0012284,1.0333333333333334
sh600722,5.38,747287,0.0016099200000000001,0.0
sz000156,10.7,6228470,0.00408808,0.0
sz002737,16.19,1113872,0.011107520000000001,0.08333333333333333
sz300319,8.4,1120560,0.006336679999999999,1.05
sh600237,4.16,150176,0.01932168,3.4166666666666665
sh601669,5.82,8263236,0.00023985,0.3333333333333333
sh603012,8.51,81696,0.0011754600000000001,0.7
sz300748,26.62,5220182,0.01708148,0.05
sz002761,16.39,1425930,0.0149966,0.0
sz002843,13.3,352450,0.0018495,0.3
sz300351,11.66,840686,0.0018197,0.25
sz002143,3.52,883098,0.00101659,0.38333333333333336
sz002441,7.99,1542070,0.010322719999999999,0.5333333333333333
sz000415,4.61,2442378,0.028815569999999995,0.4666666666666667
sh600853,4.1,682240,0.01068498,12.866666666666667
sh600275,2.98,124564,0.00355454,6.466666666666667
sz300251,9.0,6115671,0.0517341,0.75
sh601003,8.15,1192345,0.008398390000000002,0.1
sh601007,9.37,67464,0.00396,0.0
sz002572,18.9,2933280,0.0006132,0.0
sz300136,30.78,22721796,0.0240345,0.05
sh603626,9.55,380090,0.00283998,0.33333333333333337
sh600665,4.05,108945,0.00013959,3.8
sh600883,7.29,387099,0.0010332,0.0
